Bats-Falcons.and.Hawks,7,10,4,10
Bats-Falcons.and.Hawks,3,0,2,0
Bats-Falcons.and.Hawks,0,1,1,2
Bats-Falcons.and.Hawks,18,9,7,7
Bats-Lagomorphs,6,9,0,3
Bats-Large.Carnivores,52,34,24,18
Bats-Large.Carnivores,0,1,1,0
Bats-Large.Carnivores,17,8,8,7
Bats-Large.Rodents,8,6,0,3
Bats-Owls,7,6,0,3
Bats-Owls,2,1,0,0
Bats-Pigeons.and.Doves,22,15,23,47
Bats-Pigeons.and.Doves,2,0,4,7
Bats-Pigeons.and.Doves,91,80,183,373
Bats-Pigeons.and.Doves,6,2,13,45
Bats-Seabirds.and.Shorebirds,6,7,0,3
Bats-Seabirds.and.Shorebirds,27,9,12,10
Bats-Seabirds.and.Shorebirds,3,2,1,3
Bats-Small.Carnivores,39,12,6,7
Bats-Small.Carnivores,181,128,110,132
Bats-Small.Carnivores,4,1,0,3
Bats-Small.Rodents.and.Moles,133,162,183,288
Bats-Small.Rodents.and.Moles,24,14,16,19
Bats-Small.Rodents.and.Moles,3,6,12,14
Bats-Songbirds,2,0,1,0
Bats-Songbirds,3,1,0,0
Bats-Waterfowl.and.Waders,13,10,5,5
Bats-Waterfowl.and.Waders,18,9,11,8
Bats-Waterfowls.and.Waders,7,5,5,0
Falcons.and.Hawks-Lagomorphs,5,7,4,7
Falcons.and.Hawks-Large.Carnivores,51,32,28,22
Falcons.and.Hawks-Large.Carnivores,0,0,2,2
Falcons.and.Hawks-Large.Carnivores,0,0,2,2
Falcons.and.Hawks-Large.Carnivores,1,1,1,0
Falcons.and.Hawks-Large.Rodents,7,4,4,7
Falcons.and.Hawks-Owls,6,4,4,7
Falcons.and.Hawks-Owls,1,1,2,0
Falcons.and.Hawks-Pigeons.and.Doves,21,13,27,51
Falcons.and.Hawks-Pigeons.and.Doves,1,0,6,7
Falcons.and.Hawks-Pigeons.and.Doves,75,73,176,366
Falcons.and.Hawks-Pigeons.and.Doves,6,1,14,47
Falcons.and.Hawks-Pigeons.and.Doves,39,23,62,117
Falcons.and.Hawks-Seabirds.and.Shorebirds,5,5,4,7
Falcons.and.Hawks-Seabirds.and.Shorebirds,0,0,2,2
Falcons.and.Hawks-Seabirds.and.Shorebirds,11,2,5,3
Falcons.and.Hawks-Seabirds.and.Shorebirds,3,1,2,5
Falcons.and.Hawks-Small.Carnivores,38,10,10,11
Falcons.and.Hawks-Small.Carnivores,165,121,103,125
Falcons.and.Hawks-Small.Carnivores,4,0,1,5
Falcons.and.Hawks-Small.Carnivores,5,7,4,10
Falcons.and.Hawks-Small.Rodents.and.Moles,132,160,187,292
