CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,4_zones,PC_Natural,pdSTD,orderLCBD,InfectionLCBD,H-PLCBD,HHLCBD
89500,20084259,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-81.20998938,42.8124801,-1.016415663,1,0.057170613,0,0.3104016,0.03102561,0.3304349,0.34363551
113432,20111507,2011,Avian,Pigeons and Doves,AMPV-1,Viral,-80.42721416,43.09915284,-0.464411815,1,0.301482316,42.00833649,0.3104016,0.03102561,0.3304349,0.34363551
119654,20090105,2009,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.39058352,43.12358219,-0.689406021,1,-0.334346963,14.58677697,0.3104016,0.03102561,0.3304349,0.34363551
120331,20071268,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.45254752,43.13578019,-0.710070038,1,0.301482316,3.61624194,0.3104016,0.03102561,0.3304349,0.34363551
125757,20084043,2008,Avian,Pigeons and Doves,Avian Pox,Viral,-79.81353735,43.23232122,0.042115582,3,0.119554807,1346.138609,0.0918396,0.10161705,0.129218,0.09136582
126436,20084042,2008,Avian,Pigeons and Doves,AMPV-1,Viral,-79.8441892,43.23898735,0.112515979,3,0.168192305,1728.999723,0.0918396,0.10161705,0.129218,0.09136582
126447,20080314,2008,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-79.70529483,43.23422954,0.028757279,1,0.301482316,0,0.3104016,0.03102561,0.3304349,0.34363551
127112,20110224,2011,Mammalian,Bats,Rabies,Viral,-79.91377889,43.25343681,0.100114291,2,0.301482316,791.7496174,0.2055248,0.5218897,0.231619,0.18665939
127116,20080926,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.8660661,43.25003808,0.240937226,4,-0.092292281,4630.535969,0.392234,0.34546764,0.3087282,0.37833928
128479,20075652,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.88513796,43.2679567,-0.040596686,4,-0.444045815,2810.002368,0.392234,0.34546764,0.3087282,0.37833928
133250,20070775,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.90598111,43.33200492,-0.217797987,2,-0.21260616,634.7595997,0.2055248,0.5218897,0.231619,0.18665939
133257,20110147,2011,Mammalian,Small Rodents and Moles,Baylisascaris spp. (aberrant),Nematode,-79.82614558,43.32901237,0.168541284,1,0.301482316,292.7675582,0.3104016,0.03102561,0.3304349,0.34363551
133259,20074192,2007,Avian,Waterfowl and Waders,Strongyles,Nematode,-79.79901917,43.32553,0.178433583,3,-0.289116846,1966.96783,0.0918396,0.10161705,0.129218,0.09136582
133899,20074035,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-80.31441835,43.36162551,0.097596818,1,0.301482316,450.0313845,0.3104016,0.03102561,0.3304349,0.34363551
133940,20104354,2010,Avian,Pigeons and Doves,Circovirus,Viral,-79.81728125,43.33822032,0.017139118,2,0.162468941,963.831518,0.2055248,0.5218897,0.231619,0.18665939
135985,20074482,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.82193901,43.36465755,0.079111789,1,-0.248169298,273.6830348,0.3104016,0.03102561,0.3304349,0.34363551
135991,20092953,2009,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.74438922,43.36038178,0.061528965,2,-0.361210567,943.1029402,0.2055248,0.5218897,0.231619,0.18665939
136666,20072087,2007,Mammalian,Small Carnivores,Ticks,Ectoparasitic,-79.83632018,43.37512303,0.132171361,1,-0.307467486,331.805246,0.3104016,0.03102561,0.3304349,0.34363551
136671,20073820,2007,Avian,Pigeons and Doves,Lice,Ectoparasitic,-79.77020777,43.36750214,-0.135671973,1,-0.189117537,458.9698449,0.3104016,0.03102561,0.3304349,0.34363551
137302,20072929,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-80.39324372,43.4120123,-0.109404858,1,-0.517917586,30.53374297,0.3104016,0.03102561,0.3304349,0.34363551
138039,20075461,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.71568934,43.38941942,0.055973872,1,-0.347962689,277.8692046,0.3104016,0.03102561,0.3304349,0.34363551
138722,20075379,2007,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-79.70809129,43.39380114,-0.105620658,3,-0.544955985,1952.094476,0.0918396,0.10161705,0.129218,0.09136582
139399,20071441,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.77371949,43.40735581,-0.642994245,1,-0.282125515,79.4766747,0.3104016,0.03102561,0.3304349,0.34363551
140023,20104679,2010,Mammalian,Bats,Rabies,Viral,-80.48612254,43.45136958,0.218774112,2,0.301482316,819.9881605,0.2055248,0.5218897,0.231619,0.18665939
140086,20102284,2010,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.70622865,43.41078329,0.135514268,1,0.301482316,166.7011053,0.3104016,0.03102561,0.3304349,0.34363551
140766,20102875,2010,Avian,Songbirds,West Nile Virus,Viral,-79.72550616,43.42421625,-0.053745734,1,0.301482316,307.1157682,0.3104016,0.03102561,0.3304349,0.34363551
140767,20071035,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.71667753,43.41830404,-0.009750625,1,-0.374458637,157.3611466,0.3104016,0.03102561,0.3304349,0.34363551
140769,20074133,2007,Mammalian,Small Carnivores,Fleas,Ectoparasitic,-79.68952736,43.42494715,0.069801365,1,0.301482316,184.5683248,0.3104016,0.03102561,0.3304349,0.34363551
141444,20075703,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.77748006,43.43459575,-0.516891445,1,0.301482316,345.8765902,0.3104016,0.03102561,0.3304349,0.34363551
141450,20084560,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.7023958,43.43377584,0.031464107,1,-0.093877132,371.3389316,0.3104016,0.03102561,0.3304349,0.34363551
141451,20092843,2009,Avian,Songbirds,Salmonella,Bacterial,-79.68497503,43.4340014,0.128901525,1,-0.133105394,232.0829974,0.3104016,0.03102561,0.3304349,0.34363551
141452,20070110,2007,Mammalian,Bats,Mites,Ecoparasitic,-79.68265841,43.43229414,-0.300813373,1,0.10570193,85.90726914,0.3104016,0.03102561,0.3304349,0.34363551
142129,20073615,2007,Avian,Pigeons and Doves,AMPV-1,Viral,-79.74261902,43.43744326,0.139321397,1,-0.152068155,276.5597976,0.3104016,0.03102561,0.3304349,0.34363551
142130,20121692,2012,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.72352516,43.4428789,0.054763511,2,0.301482316,521.0175531,0.2055248,0.5218897,0.231619,0.18665939
142131,20081413,2008,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.70967906,43.43925251,0.101746292,1,0.021398839,350.7672338,0.3104016,0.03102561,0.3304349,0.34363551
142133,20080327,2008,Mammalian,Bats,Rabies,Viral,-79.69224849,43.44163684,0.177880227,2,-0.337442899,597.7115785,0.2055248,0.5218897,0.231619,0.18665939
142134,20073750,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.67459027,43.43977158,0.168190695,2,-0.498127067,899.7065448,0.2055248,0.5218897,0.231619,0.18665939
142814,20074379,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-79.70431058,43.44937535,0.164457899,3,-0.07496222,1004.220259,0.0918396,0.10161705,0.129218,0.09136582
142816,20071123,2007,Mammalian,Small Carnivores,Ticks,Ectoparasitic,-79.68332841,43.45000248,0.065802192,3,0.301482316,1276.318206,0.0918396,0.10161705,0.129218,0.09136582
142817,20075143,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-79.66646108,43.44735631,0.086637512,2,-0.30373932,873.5188355,0.2055248,0.5218897,0.231619,0.18665939
143494,20070060,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-79.73038608,43.46059862,-0.032385872,1,-0.361097933,266.2299869,0.3104016,0.03102561,0.3304349,0.34363551
